origin,destination,weight
sdg4_earlyedu,sdg9_rdex,-0.5760958353170118
sdg4_primary,sdg11_pm25,-0.5287986181873701
sdg4_second,sdg4_primary,0.5620345670816801
sdg4_second,sdg14_trawl,-0.5462076805460594
sdg4_literacy,sdg3_hiv,-0.5371227807442198
sdg4_literacy,sdg3_lifee,0.7703012930401673
sdg4_literacy,sdg4_second,0.6049098289678579
sdg4_literacy,sdg8_rights,-0.6984286789482611
sdg4_literacy,sdg14_trawl,0.6439254605374604
sdg4_literacy,sdg16_detain,0.5506776651909382
sdg5_edat,sdg3_neonat,0.5528645031670736
sdg5_edat,sdg3_u5mort,0.6715609888254602
sdg5_edat,sdg3_lifee,-0.5055828171736775
sdg5_edat,sdg16_detain,-0.6977718541445393
sdg5_lfpr,sdg4_second,0.6386867483973296
sdg5_lfpr,sdg8_rights,-0.6229374706385141
sdg5_lfpr,sdg14_trawl,0.5058362283095664
sdg5_lfpr,sdg17_statperf,0.583254827282729
sdg5_parl,sdg2_crlyld,0.5734246167405114
sdg5_parl,sdg3_u5mort,-0.5257896122899893
sdg5_parl,sdg5_edat,0.6862154681900957
sdg5_parl,sdg12_nimport,0.543482959017876
sdg6_water,sdg8_unemp,-0.8205491509447235
sdg6_water,sdg5_familypl,0.5798959429343378
sdg6_water,sdg1_320pov,-0.5452038717749714
sdg6_water,sdg2_obesity,0.681806515235084
sdg6_water,sdg6_sanita,0.6891416560183203
sdg6_water,sdg7_cleanfuel,0.5531941590642986
sdg6_water,sdg11_pipedwat,-0.7985214516947213
sdg6_sanita,sdg8_unemp,-0.5200332271915515
sdg6_sanita,sdg5_familypl,0.7250541558604704
sdg6_sanita,sdg1_320pov,-0.5579653101899978
sdg6_sanita,sdg2_obesity,0.7134166841746739
sdg6_sanita,sdg6_water,0.6824756549234909
sdg6_sanita,sdg11_pipedwat,-0.6479063888614233
sdg7_cleanfuel,sdg2_obesity,0.5625422834520587
sdg7_cleanfuel,sdg2_snmi,-0.8110301295171362
sdg7_cleanfuel,sdg3_hiv,0.6753212374539391
sdg7_cleanfuel,sdg12_explastic,0.6301314785488876
sdg7_ren,sdg2_snmi,0.504286307003591
sdg7_ren,sdg14_cpma,-0.5857189502110638
sdg8_accounts,sdg1_wpc,-0.5175844574071693
sdg8_accounts,sdg12_nprod,0.6185424887202012
sdg8_accounts,sdg14_cleanwat,-0.9038374869766501
sdg8_rights,sdg16_cpi,0.5479804827687714
sdg8_impacc,sdg3_tb,0.6552605397536214
sdg8_impacc,sdg8_accounts,-0.5521688504404981
sdg9_intuse,sdg8_unemp,-0.5398264348976564
sdg9_intuse,sdg1_320pov,-0.7915744028989732
sdg9_intuse,sdg6_water,0.5617096686000178
sdg9_intuse,sdg6_sanita,0.6136351056037043
sdg9_intuse,sdg9_mobuse,0.5884180251965281
sdg9_intuse,sdg11_pipedwat,-0.6593078888538411
sdg9_mobuse,sdg1_320pov,-0.6802289015440688
sdg9_mobuse,sdg2_snmi,0.5178187424990993
sdg9_mobuse,sdg3_hiv,-0.5315453298656192
sdg9_mobuse,sdg4_second,0.5200197854395182
sdg9_mobuse,sdg6_sanita,0.6390647066207928
sdg9_mobuse,sdg9_intuse,0.6971975034855432
